file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_1135-1.tsv	jupiter	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zu Lande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1135-2.tsv	jupiter	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	first	none
rwk1_digbib_1136-1.tsv	jupiter	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1136-3.tsv	jupiter	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1141-1.tsv	jupiter	Duncker,_Dora_Muetter.tg7_1.xml	1897	1890	digbib	Mütter	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1142-1.tsv	jupiter	Duncker,_Dora_Seine_Letzte.tg12_1.xml	1905	1900	digbib	Seine Letzte	Duncker, Dora	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1144-1.tsv	jupiter	Duncker,_Dora_Unueberwindlich.tg13_1.xml	1905	1900	digbib	Unüberwindlich	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1145-3.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1147-1.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Der_gute_Mond.tg120_1.xml	1884	1880	digbib	Der gute Mond	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1148-2.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Der_Herr_Hofrat.tg132_1.xml	1915	1910	digbib	Der Herr Hofrat	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1148-3.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Der_Herr_Hofrat.tg132_1.xml	1915	1910	digbib	Der Herr Hofrat	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1149-1.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Der_Kreisphysikus.tg114_1.xml	1883	1880	digbib	Der Kreisphysikus	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1150-3.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Der_Vorzugsschueler.tg125_1.xml	1898	1890	digbib	Der Vorzugsschüler	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1153-1.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Ein_Spaetgeborner.tg95_1.xml	1875	1870	digbib	Ein Spätgeborner	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1153-2.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Ein_Spaetgeborner.tg95_1.xml	1875	1870	digbib	Ein Spätgeborner	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1160-3.tsv	jupiter	Essig,_Hermann_Der_Wetterfrosch.tg21_1.xml	1919	1910	digbib	Der Wetterfrosch	Essig, Hermann	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1330-1.tsv	jupiter	Keller,_Gottfried_Das_Sinngedicht.tg830_1.xml	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron_single
rwk1_digbib_1170-1.tsv	jupiter	Fontane,_Theodor_Unterm_Birnbaum.tg766_1.xml	1885	1880	digbib	Unterm Birnbaum	Fontane, Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1191-1.tsv	jupiter	Frapan,_Ilse_Von_der_Strasse.tg16_1.xml	1890	1890	digbib	Von der Straße	Frapan, Ilse	yes	Erzähltext	yes	no	third	chevron other
rwk1_digbib_1191-2.tsv	jupiter	Frapan,_Ilse_Von_der_Strasse.tg16_1.xml	1890	1890	digbib	Von der Straße	Frapan, Ilse	yes	Erzähltext	yes	no	unsure	chevron none
rwk1_digbib_1196-2.tsv	jupiter	Gotthelf,_Jeremias_Das_Erdbeerimareili.tg65_1.xml	1850	1850	digbib	Das Erdbeerimareili	Gotthelf, Jeremias	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1198-1.tsv	jupiter	Gotthelf,_Jeremias_Elsi__die_seltsame_Magd.tg64_1.xml	1843	1840	digbib	Elsi, die seltsame Magd	Gotthelf, Jeremias	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1202-1.tsv	jupiter	Hebbel,_Friedrich_Der_Rubin.tg982_1.xml	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1207-1.tsv	jupiter	Heyking,_Elisabeth_von_Der_Tag_Anderer.tg74_1.xml	1905	1900	digbib	Der Begleiter	Heiseler, Henry von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1211-1.tsv	jupiter	Heym,_Georg_Der_Dieb.tg152_1.xml	1913	1910	digbib	Der Dieb	Heym, Georg	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1211-2.tsv	jupiter	Heym,_Georg_Der_Dieb.tg152_1.xml	1913	1910	digbib	Der Dieb	Heym, Georg	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1217-1.tsv	jupiter	Heyse,_Paul_Andrea_Delfin.tg565_1.xml	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1218-1.tsv	jupiter	Heyse,_Paul_L__Arrabbiata.tg564_1.xml	1855	1850	digbib	L'Arrabbiata	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1218-2.tsv	jupiter	Heyse,_Paul_L__Arrabbiata.tg564_1.xml	1855	1850	digbib	L'Arrabbiata	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1221-1.tsv	jupiter	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1221-2.tsv	jupiter	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1223-1.tsv	jupiter	Hofmannsthal,_Hugo_von_Reitergeschichte.tg361_1.xml	1899	1890	digbib	Reitergeschichte	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1225-1.tsv	jupiter	Holz,_Arno_Ein_Tod.tg457_1.xml	1889	1880	digbib	Ein Tod	Holz, Arno	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1226-1.tsv	jupiter	Holz,_Arno_Papa_Hamlet.tg455_1.xml	1889	1880	digbib	Papa Hamlet	Holz, Arno	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1311-1.tsv	jupiter	Janitschek,_Maria_Der_Betrogene.tg106_1.xml	1902	1900	digbib	Der Betrogene	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1313-1.tsv	jupiter	Janitschek,_Maria_Elias.tg66_1.xml	1897	1890	digbib	Elias	Janitschek, Maria	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1319-1.tsv	jupiter	Janitschek,_Maria_Koenigin_Judith.tg42_1.xml	1895	1890	digbib	Königin Judith	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1321-1.tsv	jupiter	Janitschek,_Maria_Liebeswunder.tg69_1.xml	1900	1900	digbib	Liebeswunder	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1325-1.tsv	jupiter	Janitschek,_Maria_Poverino.tg56_1.xml	1897	1890	digbib	Poverino	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1328-1.tsv	jupiter	Jensen,_Wilhelm_Gradiva.tg4_1.xml	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1328-2.tsv	jupiter	Jensen,_Wilhelm_Gradiva.tg4_1.xml	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1328-3.tsv	jupiter	Jensen,_Wilhelm_Gradiva.tg4_1.xml	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1329-1.tsv	jupiter	Keller,_Gottfried_Das_Faehnlein_der_sieben_Aufrechten.tg823_1.xml	1860	1860	digbib	Das Fähnlein der sieben Aufrechten	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1329-2.tsv	jupiter	Keller,_Gottfried_Das_Faehnlein_der_sieben_Aufrechten.tg823_1.xml	1860	1860	digbib	Das Fähnlein der sieben Aufrechten	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1352-1.tsv	jupiter	Klabund_Der_Baer.tg446_1.xml	1918	1910	digbib	Der Bär	Klabund	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1330-2.tsv	jupiter	Keller,_Gottfried_Das_Sinngedicht.tg830_1.xml	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1333-1.tsv	jupiter	Keller,_Gottfried_Der_Narr_auf_Manegg.tg820_1.xml	1877	1870	digbib	Der Narr auf Manegg	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1342-1.tsv	jupiter	Keller,_Gottfried_Romeo_und_Julia_auf_dem_Dorfe.tg803_1.xml	1856	1850	digbib	Romeo und Julia auf dem Dorfe	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1342-2.tsv	jupiter	Keller,_Gottfried_Romeo_und_Julia_auf_dem_Dorfe.tg803_1.xml	1856	1850	digbib	Romeo und Julia auf dem Dorfe	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1345-1.tsv	jupiter	Keyserling,_Eduard_von_Beate_und_Mareile.tg41_1.xml	1903	1900	digbib	Beate und Mareile	Keyserling, Eduard von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1345-2.tsv	jupiter	Keyserling,_Eduard_von_Beate_und_Mareile.tg41_1.xml	1903	1900	digbib	Beate und Mareile	Keyserling, Eduard von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1389-1.tsv	jupiter	Kuhn,_Adalbert_10__Vom_Maedchen__das_seine_Brueder_sucht.tg268_1.xml	1843	1840	digbib	10. Vom Mädchen, das seine Brüder sucht	Kuhn, Adalbert	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1359-1.tsv	jupiter	Klabund_Die_Briefmarke_auf_der_Feldpostkarte.tg453_1.xml	1918	1910	digbib	Die Briefmarke auf der Feldpostkarte	Klabund	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1368-1.tsv	jupiter	Klabund_Leuchtet_Ihre_Uhr_des_Nachts.tg460_1.xml	1918	1910	digbib	Leuchtet Ihre Uhr des Nachts	Klabund	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2621-1.tsv	jupiter	Raabe,_Wilhelm_Das_Odfeld.tg256_1.xml	1889	1880	digbib	Das Odfeld	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1498-1.tsv	jupiter	Kuhn,_Adalbert_17__Die_drei_Baelle.tg2671_1.xml	1859	1850	digbib	17. Die drei Bälle	Kuhn, Adalbert	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1508-1.tsv	jupiter	Kuhn,_Adalbert_186__Raeuber_Danneil.tg663_1.xml	1848	1840	digbib	186. Räuber Danneil	Kuhn, Adalbert	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1525-1.tsv	jupiter	Kuhn,_Adalbert_19__Der_N_berskrooch.tg25_1.xml	1843	1840	digbib	19. Der Nåberskrooch	Kuhn, Adalbert	yes	Erzähltext	yes	yes_DS	third	chevron none
rwk1_digbib_1609-1.tsv	jupiter	Kuhn,_Adalbert_291__Zwergueberfahrt.tg849_1.xml	1848	1840	digbib	291. Zwergüberfahrt	Kuhn, Adalbert	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1867-1.tsv	jupiter	Leskov,_Semenovic_Nikolaj_Der_Toupetkuenstler.tg60_1.xml	1883	1880	digbib	Der Toupetkünstler	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1869-3.tsv	jupiter	Leskov,_Semenovic_Nikolaj_Die_Lady_Makbeth_des_Mzensker_Landkreises.tg27_1.xml	1865	1860	digbib	Die Lady Makbeth des Mzensker Landkreises	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1870-1.tsv	jupiter	Leskov,_Semenovic_Nikolaj_Eine_Teufelsaustreibung.tg4_1.xml	1879	1870	digbib	Eine Teufelsaustreibung	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1877-1.tsv	jupiter	Lichtenstein,_Alfred_Gespraech_ueber_Beine.tg128_1.xml	1915	1910	digbib	Gespräch über Beine	Lichtenstein, Alfred	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1885-1.tsv	jupiter	Liliencron,_Detlev_von_Eine_Sommerschlacht.tg261_1.xml	1887	1880	digbib	Eine Sommerschlacht	Liliencron, Detlev von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1887-1.tsv	jupiter	Ludwig,_Otto_Die_Heiteretei_und_ihr_Widerspiel.tg64_1.xml	1857	1850	digbib	Die Heiteretei und ihr Widerspiel	Ludwig, Otto	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1888-1.tsv	jupiter	Ludwig,_Otto_Zwischen_Himmel_und_Erde.tg63_1.xml	1856	1850	digbib	Zwischen Himmel und Erde	Ludwig, Otto	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1892-1.tsv	jupiter	Marlitt,_Eugenie_Die_zwoelf_Apostel.tg121_1.xml	1865	1860	digbib	Die zwölf Apostel	Marlitt, Eugenie	yes	Erzähltext	yes	no	third	undef
