file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_3015-1.xmi	earth	Schnitzler,_Arthur_Die_kleine_Komoedie.tg250_1.xml	1895	1890	digbib	Die kleine Komödie	Schnitzler, Arthur	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_3018-1.xmi	earth	Schnitzler,_Arthur_Doktor_Graesler__Badearzt.tg314_1.xml	1917	1910	digbib	Doktor Gräsler, Badearzt	Schnitzler, Arthur	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3166-1.xmi	earth	Storm,_Theodor_In_St__Juergen.tg232_1.xml	1868	1860	digbib	In St. Jürgen	Storm, Theodor	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_3167-1.xmi	earth	Storm,_Theodor_John_Riew_.tg255_1.xml	1885	1880	digbib	John Riew'	Storm, Theodor	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_3242-1.xmi	earth	Wildermuth,_Ottilie_4__Der_Herrenbau.tg27_1.xml	1847	1840	digbib	4. Der Herrenbau	Wildermuth, Ottilie	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3280-1.xmi	earth	Wildermuth,_Ottilie_Lebensglueck.tg93_1.xml	1852	1850	digbib	Lebensglück	Wildermuth, Ottilie	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3303-1.xmi	earth	Wolf,_Johann_Wilhelm_Das_weisse_Hemd__das_schwere_Schwert_und_der_goldene_Ring.tg21_1.xml	1851	1850	digbib	Das weiße Hemd, das schwere Schwert und der goldene Ring	Wolf, Johann Wilhelm	yes	Erzähltext	yes	no	third	chevron_single
rwk1_digbib_622-1.xmi	earth	Bechstein,_Ludwig_Der_Wandergeselle.tg158_1.xml	1856	1850	digbib	Der Wandergeselle	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_660-1.xmi	earth	Bechstein,_Ludwig_Die_verzauberte_Prinzessin.tg61_1.xml	1845	1840	digbib	Die verzauberte Prinzessin	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_930-1.xmi	earth	Birlinger,_Anton_Abdankung.tg1682_1.xml	1862	1860	digbib	Abdankung	Birlinger, Anton	yes	Erzähltext	yes	no	first	none
rwk1_digbib_946-1.xmi	earth	Buechner,_Luise_Ein_Dichter.tg95_1.xml	1878	1870	digbib	Ein Dichter	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_981-1.xmi	earth	Busch,_Wilhelm_32__Der_Soldat_und_das_Feuerzeug.tg683_1.xml	1910	1910	digbib	32. Der Soldat und das Feuerzeug	Busch, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_grenz_10402-1.xmi	earth	grenzboten_341829_157673.txt_9.xml	1879	1870	grenz	Struensee.	Dohmte, E. 	no	Biographie	yes	no	third	undef
rwk1_grenz_10959-1.xmi	earth	grenzboten_341833_157968.txt_26.xml	1881	1880	grenz	Hannovers Ende und Herr Meding. 	Meding, Oscar| Samarow, Gregor 	no	Rezension	yes	no	first_plural	german
rwk1_grenz_11238-1.xmi	earth	grenzboten_341835_359176.txt_6.xml	1882	1880	grenz	Vom Wiener Burgtheater.	Undefined	no	Reportage	yes	no	third	german
rwk1_grenz_11903-1.xmi	earth	grenzboten_341839_156270.txt_82.xml	1884	1880	grenz	Die Engel auf Erden. 	Bersezio, Viktor	yes	Erzähltext	yes	no	third	none
rwk1_grenz_1322-1.xmi	earth	grenzboten_341563_278509.txt_14.xml	1849	1840	grenz	Preußische Briefe.	Undefined	no	Reisebericht/Brief	yes	no	first	undef
rwk1_grenz_13462-1.xmi	earth	grenzboten_341847_202098.txt_75.xml	1888	1880	grenz	Ein böser Geist im heutigen England. 2. 	Undefined	no	Reportage	no	no	first_plural	none
rwk1_grenz_13947-1.xmi	earth	grenzboten_341849_204730.txt_89.xml	1889	1880	grenz	Robert Hamerlings Selbstbiographie	Necker, Moritz	no	Rezension	no	no	third	german
rwk1_grenz_14699-1.xmi	earth	grenzboten_341853_210512.txt_26.xml	1891	1890	grenz	Neues über Schleswig-Holstein	Undefined	no	Rezension	no	no	first_plural	german
rwk1_grenz_1482-1.xmi	earth	grenzboten_341563_279025.txt_78.xml	1849	1840	grenz	Jütland und die Jüten.	Undefined	no	Kommentar	yes	no	third	undef
rwk1_grenz_14935-1.xmi	earth	grenzboten_341855_211167.txt_86.xml	1892	1890	grenz	Bilder aus dem Universitätsleben: 2. Die Wahlschlacht	Undefined	yes	Erzähltext	yes	no	third	none
rwk1_grenz_1591-1.xmi	earth	grenzboten_341563_279547.txt_86.xml	1849	1840	grenz	Wiener Zeitungen und Zeitungshelden.	Undefined	no	Rezension	yes	no	first	german
rwk1_grenz_16257-1.xmi	earth	grenzboten_341863_223583.txt_50.xml	1896	1890	grenz	Die Dynastie der Saids in Sansibar	Wagner, Hans	no	Reportage	no	no	third	undef
rwk1_grenz_16351-1.xmi	earth	grenzboten_341865_224245.txt_5.xml	1897	1890	grenz	Die Berliner Schillerpreisdramen	Undefined	no	Kommentar	no	no	first_plural	german
rwk1_grenz_16524-1.xmi	earth	grenzboten_341865_225585.txt_39.xml	1897	1890	grenz	Zur Beförderung und Verabschiedung der Offiziere	Undefined	no	Kommentar	no	no	third	undef
rwk1_grenz_18070-1.xmi	earth	grenzboten_341873_235821.txt_86.xml	1901	1900	grenz	Weihnachten vor Paris (Schluß)	Stellanus, Georg	yes	Erzähltext	yes	no	third	german none
rwk1_grenz_19209-1.xmi	earth	grenzboten_341879_295218.txt_43.xml	1904	1900	grenz	Maßgebliches und Unmaßgebliches	Undefined	no	Kommentar	no	no	third	undef
rwk1_grenz_19520-1.xmi	earth	grenzboten_341881_297518.txt_7.xml	1905	1900	grenz	Herrenmenschen 14. Er soll dein Herr sein	Anders, Fritz| Allihn, Max 	yes	Erzähltext	yes	no	third	undef
rwk1_grenz_19836-1.xmi	earth	grenzboten_341883_299040.txt_82.xml	1906	1900	grenz	Maßgebliches und Unmaßgebliches	Undefined	no	Kommentar	no	no	third	none
rwk1_grenz_21102-1.xmi	earth	grenzboten_341889_314346.txt_35.xml	1909	1900	grenz	Maßgebliches und Unmaßgebliches	Undefined	no	Kommentar	no	no	third	undef
rwk1_grenz_21534-1.xmi	earth	grenzboten_341891_316950.txt_73.xml	1910	1910	grenz	Im Flecken: Erzählung aus der russischen Provinz (Fortsetzung)	Reyher, Alexander Andreas v. 	yes	Erzähltext	yes	no	third	german
rwk1_grenz_2262-1.xmi	earth	grenzboten_341570_345606.txt_58.xml	1851	1850	grenz	Wochenschau.	Undefined	no	Rezension	yes	no	first_plural	undef
rwk1_grenz_22637-1.xmi	earth	grenzboten_341897_326811.txt_12.xml	1913	1910	grenz	An der Wiege des Königreichs Rumänien: Berichte des preußischen Spezialgesandten Freiherrn von Richthofen an König Friedrich Wilhelm den Vierten	Undefined	no	Reisebericht/Brief	yes	no	first	undef
rwk1_grenz_23276-1.xmi	earth	grenzboten_341901_323972.txt_50.xml	1915	1910	grenz	Englische Weltpolitik und Weltverkehrsfragen vor dem Kriege	Wütschke, Dr.	no	Kommentar	no	no	third	undef
rwk1_grenz_23586-1.xmi	earth	grenzboten_341903_330971.txt_10.xml	1916	1910	grenz	Erdkunde in den höheren Schulen	Offe, Hans Dr.	no	Kommentar	no	no	first_plural	undef
rwk1_grenz_24-1.xmi	earth	grenzboten_282160_266616.txt_30.xml	1842	1840	grenz	Erinnerungen und die Mittheilungen eines Landschaftsmalers	Koekkoek, B. C.	no	Reportage	no	no	first	german
rwk1_grenz_24351-1.xmi	earth	grenzboten_341909_335407.txt_88.xml	1919	1910	grenz	Pressestimmen	Undefined	no	Kommentar	no	no	first_plural	undef
rwk1_grenz_2481-1.xmi	earth	grenzboten_341573_94440.txt_5.xml	1852	1850	grenz	Wochenbericht.	Undefined	no	Rezension	yes	no	first_plural	undef
rwk1_grenz_317-1.xmi	earth	grenzboten_341546_341790.txt_39.xml	1844	1840	grenz	Der Kunstteufel: Modernes Märchen.	Undefined	yes	Erzähltext	yes	no	third	undef
rwk1_grenz_3633-1.xmi	earth	grenzboten_341584_102060.txt_2.xml	1856	1850	grenz	Der Sundzoll	Undefined	no	Reportage	yes	no	third	undef
