file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_grenz_18080-1.tsv	venus	grenzboten_341875_236523.txt_16.xml	1902	1900	grenz	Kursächsische Streifzüge 3. Sitzenroda. Schilda und das Schildbürgerbuch	von V.E. Schmidt	no	Reportage	no	no	third	german
rwk1_grenz_19331-1.tsv	venus	grenzboten_341881_296010.txt_69.xml	1905	1900	grenz	Von Zölibat, Brevier, Meßstipendien und Klosterwesen (Schluß)	Undefined	no	Reportage	no	no	third	german
rwk1_grenz_22091-1.tsv	venus	grenzboten_341895_321082.txt_31.xml	1912	1910	grenz	Reichsspiegel	Undefined	no	Nachrichten	no	no	third	german
rwk1_grenz_22136-1.tsv	venus	grenzboten_341895_321082.txt_72.xml	1912	1910	grenz	Reichsspiegel	Undefined	no	Nachrichten	yes	no	third	german
rwk1_mkhz_6351-2.tsv	venus	nn_sonntagsblatt29_1868_1.xml	1868	1860	mkhz.sonntagsblatt	Undefined	Undefined	no	Reportage	no	no	third	undef
rwk1_mkhz_10021-1.tsv	venus	MT_1884_06_10.txt_8.xml	1884	1880	mkhz.maehrisches	Die ungarischen Wahlen.	Undefined	no	Kommentar	no	no	third	none
rwk1_mkhz_10037-1.tsv	venus	MT_1885_08_03.txt_1.xml	1885	1880	mkhz.maehrisches	Die Zustände in Dalmatien	Undefined	no	Kommentar	no	no	third	undef
rwk1_mkhz_10058-1.tsv	venus	MT_1885_08_31.txt_7.xml	1885	1880	mkhz.maehrisches	Undefined	Undefined	no	Unsure	yes	no	unsure	german
rwk1_mkhz_10578-1.tsv	venus	BZ_1900_01_24.txt_7.xml	1900	1900	mkhz.badener	Turnverein Baden.— Österr. Eisenbahnbeamtenverein. — Ein falsches Gerücht. — Der Nachlass einer Amerikanerin. — Die farbige Ohrfeige.	Undefined	no	Nachrichten	no	no	third	german
rwk1_mkhz_10713-1.tsv	venus	BZ_1909_07_21.txt_1.xml	1909	1900	mkhz.badener	Undefined	Undefined	no	Reportage	no	no	third	german
rwk1_mkhz_11030-2.tsv	venus	BZ_1916_08_30.txt_3.xml	1916	1910	mkhz.badener	Undefined	Dr. B.	no	Kommentar	no	no	third	german
rwk1_mkhz_11031-1.tsv	venus	BZ_1916_08_30.txt_5.xml	1916	1910	mkhz.badener	— Militärische Auszeichnung. — Heldentod. — Stadtbaumeister Franz Xaver Schmidt†. — Todesfall. — Unterrichtsminister Dr. v. Hussarekinder Kunstausstellung. — Karl Probst in seinem Badener Atelier. — Kurliste. — Spende. — Parkfest zum Benefiz der Musikdirektoren. — Versammlung.— Ankunft von Verwundeten. — Auskünfte über den Aufenthalt verwundeter, kranker oder vermißter Militärpersonen. — Außerordentliche Staatslotterie für Kriegsfürsorgezwecke. — Eröffnung des beh.konz. Kindergartens. — Unfälle. — Die Reichsorganisation der Hausfrauen Oesterreichs	A. K.	no	Anzeige	no	no	third	german
rwk1_mkhz_11032-short.tsv	venus	BZ_1916_08_30.txt_7.xml	1916	1910	mkhz.badener	Arena in Baden. Spielplan der Arena.	Calliano, Gustav 	no	Anzeige	no	no	third	german
rwk1_mkhz_11034-1.tsv	venus	BZ_1916_09_20.txt_1.xml	1916	1910	mkhz.badener	Politische Debatten in Ungarn	Undefined	no	Nachrichten	no	no	third	german
rwk1_mkhz_11063-short.tsv	venus	CAZ_1910_11_04.txt_17.xml	1910	1910	mkhz.czernowitzer	Telegr. Handelsbericht vom 3. November 1910. Telegraphische Kurse vom 3. Nov. 1910. Effekten- und Wechselkurse der Wiener Börse	Undefined	no	Nachrichten	no	no	unsure	undef
rwk1_mkhz_20090-short.tsv	venus	SGV_1891_01_14.txt_5.xml	1891	1890	mkhz.stgaller	Deutsches Reich. Frankreich. Oesterreich-Ungarn. Italien. Spanien. Türkei.	Undefined	no	Nachrichten	no	no	third	german
rwk1_mkhz_20094-1.tsv	venus	SGV_1891_05_02.txt_3.xml	1891	1890	mkhz.stgaller	Bern. Schwyz. Obwalden. Glarus. Freiburg. Solothurn. Graubünden. Aargan.	Undefined	no	Nachrichten	no	no	third	german
rwk1_mkhz_20104-1.tsv	venus	SGV_1892_06_08.txt_4.xml	1892	1890	mkhz.stgaller	— Schweiz. Gewerbeverein. — Ein Ausblick. — Bundesrath Zemp. — Humanitätin Scherbeu! — Schweizerischer Volksgesang	Undefined	no	Nachrichten	no	no	first_plural	none
rwk1_mkhz_20296-1.tsv	venus	MZ_1905_02_11.txt_8.xml	1905	1900	mkhz.marburger	Familienabend des deutschen Turnvereines. Leichenbegängnis des Altbürgermeisters Strafella. Der Pettauer Gemeinderat.	Undefined	no	Nachrichten	no	no	third	undef
rwk1_mkhz_20433-1.tsv	venus	SGV_1900_01_06.txt_6.xml	1900	1900	mkhz.stgaller	Undefined	Undefined	no	Nachrichten	no	no	third	german
rwk1_mkhz_20490-1.tsv	venus	MZ_1912_05_14.txt_1.xml	1912	1910	mkhz.marburger	Was opfern unsere Gegner für ihre nationalen Grenzschulen?	Undefined	no	Reportage	no	no	third	undef
rwk1_mkhz_20512-short.tsv	venus	MZ_1912_07_30.txt_9.xml	1912	1910	mkhz.marburger	Nächtliche Ruhestörungen. Unglücksfall eines Militärrealschulzöglings.	Undefined	no	Nachrichten	no	no	third	undef
rwk1_mkhz_20567-short.tsv	venus	MZ_1914_05_05.txt_11.xml	1914	1910	mkhz.marburger	Zur Errettung aus dem Lurloche. Bitte für einen Krüppel.	Undefined	no	Anzeige	no	no	third	german none
rwk1_mkhz_20568-1.tsv	venus	MZ_1914_05_05.txt_2.xml	1914	1910	mkhz.marburger	Fürstin Morrow	Meisner, Karl	yes	Erzähltext	yes	no	third	german
rwk1_mkhz_20617-short.tsv	venus	MZ_1917_09_30.txt_16.xml	1917	1910	mkhz.marburger	Richtpreise für Gährungsessig und Preßhefe. Wein- und Obstmostgebinde. Obsttrester als Futter. Richtpreise für Brennholz. Wach- und Schließanstalt.	Undefined	no	Nachrichten	no	no	third	undef
