file	year	decade	source	title	author	fictional	text_type
rwk_digbib_1197-2.xmi	1842	1840	digbib	Die schwarze Spinne	Gotthelf, Jeremias	yes	Erzähltext
rwk_digbib_1198-1.xmi	1843	1840	digbib	Elsi, die seltsame Magd	Gotthelf, Jeremias	yes	Erzähltext
rwk_digbib_1199-2.xmi	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext
rwk_digbib_1199-3.xmi	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext
rwk_digbib_1201-2.xmi	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext
rwk_digbib_1202-1.xmi	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext
rwk_digbib_1202-2.xmi	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext
rwk_digbib_1204-1.xmi	1841	1840	digbib	Matteo	Hebbel, Friedrich	yes	Erzähltext
rwk_digbib_1207-1.xmi	1905	1900	digbib	Der Tag Anderer	Heyking, Elisabeth von	yes	Erzähltext
rwk_digbib_1209-2.xmi	1905	1900	digbib	Über einen Hund und die Monroe-Doktrin	Heyking, Elisabeth von	yes	Erzähltext
rwk_digbib_1211-1.xmi	1913	1910	digbib	Der Dieb	Heym, Georg	yes	Erzähltext
rwk_digbib_1211-2.xmi	1913	1910	digbib	Der Dieb	Heym, Georg	yes	Erzähltext
rwk_digbib_1217-1.xmi	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext
rwk_digbib_1217-2.xmi	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext
rwk_digbib_1218-1.xmi	1855	1850	digbib	L'Arrabbiata	Heyse, Paul	yes	Erzähltext
rwk_digbib_1218-2.xmi	1855	1850	digbib	L'Arrabbiata	Heyse, Paul	yes	Erzähltext
rwk_digbib_1221-1.xmi	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext
rwk_digbib_1221-2.xmi	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext
rwk_digbib_1221-3.xmi	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext
rwk_digbib_1223-1.xmi	1899	1890	digbib	Reitergeschichte	Hofmannsthal, Hugo von	yes	Erzähltext
rwk_digbib_1225-1.xmi	1889	1880	digbib	Ein Tod	Holz, Arno	yes	Erzähltext
rwk_digbib_1226-1.xmi	1889	1880	digbib	Papa Hamlet	Holz, Arno	yes	Erzähltext
rwk_digbib_1299-1.xmi	1890	1890	digbib	Die verschiedenen Stände	Jahn, Ulrich	yes	Erzähltext
rwk_digbib_1311-1.xmi	1902	1900	digbib	Der Betrogene	Janitschek, Maria	yes	Erzähltext
rwk_digbib_1313-1.xmi	1897	1890	digbib	Elias	Janitschek, Maria	yes	Erzähltext
rwk_digbib_1319-1.xmi	1895	1890	digbib	Königin Judith	Janitschek, Maria	yes	Erzähltext
rwk_digbib_1321-1.xmi	1900	1900	digbib	Liebeswunder	Janitschek, Maria	yes	Erzähltext
rwk_digbib_1324-1.xmi	1902	1900	digbib	Neue Erziehung und alte Moral	Janitschek, Maria	yes	Erzähltext
rwk_digbib_1325-1.xmi	1897	1890	digbib	Poverino	Janitschek, Maria	yes	Erzähltext
rwk_digbib_1328-1.xmi	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext
rwk_digbib_1328-2.xmi	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext
rwk_digbib_1328-3.xmi	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext
rwk_digbib_1329-1.xmi	1860	1860	digbib	Das Fähnlein der sieben Aufrechten	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1329-2.xmi	1860	1860	digbib	Das Fähnlein der sieben Aufrechten	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1330-1.xmi	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1330-2.xmi	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1333-1.xmi	1877	1870	digbib	Der Narr auf Manegg	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1335-1.xmi	1874	1870	digbib	Dietegen	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1342-1.xmi	1856	1850	digbib	Romeo und Julia auf dem Dorfe	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1342-2.xmi	1856	1850	digbib	Romeo und Julia auf dem Dorfe	Keller, Gottfried	yes	Erzähltext
rwk_digbib_1345-1.xmi	1903	1900	digbib	Beate und Mareile	Keyserling, Eduard von	yes	Erzähltext
rwk_digbib_1345-2.xmi	1903	1900	digbib	Beate und Mareile	Keyserling, Eduard von	yes	Erzähltext
rwk_digbib_1352-1.xmi	1918	1910	digbib	Der Bär	Klabund	yes	Erzähltext
rwk_digbib_1359-1.xmi	1918	1910	digbib	Die Briefmarke auf der Feldpostkarte	Klabund	yes	Erzähltext
rwk_digbib_1364-1.xmi	1918	1910	digbib	Hölderlin	Klabund	yes	Erzähltext
rwk_digbib_1368-1.xmi	1918	1910	digbib	Leuchtet Ihre Uhr des Nachts	Klabund	yes	Erzähltext
rwk_digbib_1389-1.xmi	1843	1840	digbib	10. Vom Mädchen, das seine Brüder sucht	Kuhn, Adalbert	yes	Erzähltext
rwk_digbib_1498-1.xmi	1859	1850	digbib	17. Die drei Bälle	Kuhn, Adalbert	yes	Erzähltext
rwk_digbib_1508-1.xmi	1848	1840	digbib	186. Räuber Danneil	Kuhn, Adalbert	yes	Erzähltext
rwk_digbib_1525-1.xmi	1843	1840	digbib	19. Der Nåberskrooch	Kuhn, Adalbert	yes	Erzähltext
rwk_digbib_1609-1.xmi	1848	1840	digbib	291. Zwergüberfahrt	Kuhn, Adalbert	yes	Erzähltext
rwk_digbib_1851-1.xmi	1859	1850	digbib	9. Der starke Hans	Kuhn, Adalbert	yes	Erzähltext
rwk_digbib_1866-1.xmi	1883	1880	digbib	Das Tier	Leskov, Semënovič Nikolaj	yes	Erzähltext
rwk_digbib_1867-1.xmi	1883	1880	digbib	Der Toupetkünstler	Leskov, Semënovič Nikolaj	yes	Erzähltext
rwk_digbib_1868-1.xmi	1873	1870	digbib	Der versiegelte Engel	Leskov, Semënovič Nikolaj	yes	Erzähltext
rwk_digbib_1868-2.xmi	1873	1870	digbib	Der versiegelte Engel	Leskov, Semënovič Nikolaj	yes	Erzähltext
rwk_digbib_1869-1.xmi	1865	1860	digbib	Die Lady Makbeth des Mzensker Landkreises	Leskov, Semënovič Nikolaj	yes	Erzähltext
rwk_digbib_1869-3.xmi	1865	1860	digbib	Die Lady Makbeth des Mzensker Landkreises	Leskov, Semënovič Nikolaj	yes	Erzähltext
rwk_digbib_1870-1.xmi	1879	1870	digbib	Eine Teufelsaustreibung	Leskov, Semënovič Nikolaj	yes	Erzähltext
rwk_digbib_1871-1.xmi	1919	1910	digbib	Cafe Klößchen	Lichtenstein, Alfred	yes	Erzähltext
rwk_digbib_1872-1.xmi	1911	1910	digbib	Der Freund	Lichtenstein, Alfred	yes	Erzähltext
rwk_digbib_1877-1.xmi	1915	1910	digbib	Gespräch über Beine	Lichtenstein, Alfred	yes	Erzähltext
rwk_digbib_1885-1.xmi	1887	1880	digbib	Eine Sommerschlacht	Liliencron, Detlev von	yes	Erzähltext
rwk_digbib_1886-1.xmi	1888	1880	digbib	Unter flatternden Fahnen	Liliencron, Detlev von	yes	Erzähltext
rwk_digbib_1887-1.xmi	1857	1850	digbib	Die Heiteretei und ihr Widerspiel	Ludwig, Otto	yes	Erzähltext
rwk_digbib_1888-1.xmi	1856	1850	digbib	Zwischen Himmel und Erde	Ludwig, Otto	yes	Erzähltext
rwk_digbib_1890-1.xmi	1881	1880	digbib	Amtmanns Magd	Marlitt, Eugenie	yes	Erzähltext
rwk_digbib_1891-1.xmi	1866	1860	digbib	Blaubart	Marlitt, Eugenie	yes	Erzähltext
rwk_digbib_1892-1.xmi	1865	1860	digbib	Die zwölf Apostel	Marlitt, Eugenie	yes	Erzähltext
rwk_digbib_1892-2.xmi	1865	1860	digbib	Die zwölf Apostel	Marlitt, Eugenie	yes	Erzähltext
rwk_digbib_1897-1.xmi	1852	1850	digbib	16.Der Räuber Matthes	Meier, Ernst	yes	Erzähltext
rwk_digbib_1967-1.xmi	1873	1870	digbib	Das Amulett	Meyer, Conrad Ferdinand	yes	Erzähltext
rwk_digbib_1992-1.xmi	1913	1910	digbib	Der Albino	Meyrink, Gustav	yes	Erzähltext
rwk_digbib_1995-1.xmi	1913	1910	digbib	Der heiße Soldat	Meyrink, Gustav	yes	Erzähltext
rwk_digbib_201-1.xmi	1901	1900	digbib	Tulpen	Altenberg, Peter	yes	Erzähltext
rwk_digbib_2012-1.xmi	1913	1910	digbib	Hilligenlei	Meyrink, Gustav	yes	Erzähltext
rwk_digbib_2025-1.xmi	1907	1900	digbib	Der Pfad der Äbtissin	Meysenbug, Malwida Freiin von	yes	Erzähltext
rwk_digbib_2027-1.xmi	1907	1900	digbib	Zu spät	Meysenbug, Malwida Freiin von	yes	Erzähltext
rwk_digbib_2027-2.xmi	1907	1900	digbib	Zu spät	Meysenbug, Malwida Freiin von	yes	Erzähltext
rwk_digbib_2028-3.xmi	1865	1860	digbib	Die Mandanenwaise	Möllhausen, Balduin	yes	Erzähltext
rwk_digbib_2031-1.xmi	1855	1850	digbib	Mozart auf der Reise nach Prag	Mörike, Eduard	yes	Erzähltext
rwk_digbib_2387-1.xmi	1845	1840	digbib	603.Die dümmste Frau	Müllenhoff, Karl	yes	Erzähltext
rwk_digbib_2396-1.xmi	1845	1840	digbib	611.Die alte Kittelkittelkarre	Müllenhoff, Karl	yes	Erzähltext
rwk_digbib_2444-1.xmi	1914	1910	digbib	Irmelin Rose	Müller, Robert	yes	Erzähltext
rwk_digbib_2444-2.xmi	1914	1910	digbib	Irmelin Rose	Müller, Robert	yes	Erzähltext
rwk_digbib_2444-3.xmi	1914	1910	digbib	Irmelin Rose	Müller, Robert	yes	Erzähltext
rwk_digbib_2445-1.xmi	1892	1890	digbib	Aus dem Tagebuch eines Hundes	Panizza, Oskar	yes	Erzähltext
rwk_digbib_245-1.xmi	1879	1870	digbib	11. Auszüge aus dem Rostocker Criminal-Protokoll	Bartsch, Karl	yes	Erzähltext
rwk_digbib_2450-1.xmi	1893	1890	digbib	Der Goldregen	Panizza, Oskar	yes	Erzähltext
rwk_digbib_2451-1.xmi	1893	1890	digbib	Der operirte Jud'	Panizza, Oskar	yes	Erzähltext
rwk_digbib_2462-1.xmi	1842	1840	digbib	Das Geheimnis der Marie Rogêt	Poe, Edgar Allan	yes	Erzähltext
rwk_digbib_2463-1.xmi	1843	1840	digbib	Das schwatzende Herz	Poe, Edgar Allan	yes	Erzähltext
rwk_digbib_2466-1.xmi	1845	1840	digbib	Der entwendete Brief	Poe, Edgar Allan	yes	Erzähltext
rwk_digbib_2477-1.xmi	1849	1840	digbib	Von Kempelen und seine Entdeckung	Poe, Edgar Allan	yes	Erzähltext
rwk_digbib_2607-1.xmi	1853	1850	digbib	76.Das Schiff,das auf dem trockenen Lande geht	Pröhle, Heinrich	yes	Erzähltext
rwk_digbib_2618-1.xmi	1854	1850	digbib	9.Von dem Schaaf,das eine Königstochter trug	Pröhle, Heinrich	yes	Erzähltext
rwk_digbib_2621-1.xmi	1889	1880	digbib	Das Odfeld	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2622-1.xmi	1866	1860	digbib	Die Gänse von Bützow	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2623-1.xmi	1861	1860	digbib	Die schwarze Galeere	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2624-1.xmi	1865	1860	digbib	Else von der Tanne	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2625-1.xmi	1875	1870	digbib	Frau Salome	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2625-2.xmi	1875	1870	digbib	Frau Salome	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2626-1.xmi	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2626-2.xmi	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext
rwk_digbib_2628-2.xmi	1897	1890	digbib	Das allerjüngste Gericht	Reventlow, Franziska Gräfin zu	yes	Erzähltext
rwk_digbib_2629-1.xmi	1917	1910	digbib	Das feindselige Gepäck	Reventlow, Franziska Gräfin zu	yes	Erzähltext
rwk_digbib_2630-1.xmi	1897	1890	digbib	Das gräfliche Milchgeschäft	Reventlow, Franziska Gräfin zu	yes	Erzähltext
rwk_digbib_2636-1.xmi	1917	1910	digbib	Die Silberwanze	Reventlow, Franziska Gräfin zu	yes	Erzähltext
rwk_digbib_2647-1.xmi	1893	1890	digbib	Warum	Reventlow, Franziska Gräfin zu	yes	Erzähltext
rwk_digbib_2650-1.xmi	1862	1860	digbib	Der Stadtpfeifer	Riehl, Wilhelm Heinrich von	yes	Erzähltext
rwk_digbib_2650-2.xmi	1862	1860	digbib	Der Stadtpfeifer	Riehl, Wilhelm Heinrich von	yes	Erzähltext
rwk_digbib_2655-1.xmi	1862	1860	digbib	Meister Martin Hildebrand	Riehl, Wilhelm Heinrich von	yes	Erzähltext
rwk_digbib_2671-1.xmi	1877	1870	digbib	Die Winternacht auf dem Stuhleck.	Rosegger, Peter	yes	Erzähltext
rwk_digbib_2692-1.xmi	1877	1870	digbib	Der Waldbauer, dieser Dodel!	Rosegger, Peter	yes	Erzähltext
rwk_digbib_2701-1.xmi	1877	1870	digbib	Dem Anderl sein Tabakgeld.	Rosegger, Peter	yes	Erzähltext
rwk_digbib_2768-1.xmi	1877	1870	digbib	Der Prediger in der Wüste.	Rosegger, Peter	yes	Erzähltext
rwk_digbib_2793-1.xmi	1877	1870	digbib	Der »Exzellenzherr«	Saar, Ferdinand von	yes	Erzähltext
rwk_digbib_2801-2.xmi	1906	1900	digbib	Die Pfründner	Saar, Ferdinand von	yes	Erzähltext
rwk_digbib_2801-3.xmi	1906	1900	digbib	Die Pfründner	Saar, Ferdinand von	yes	Erzähltext
rwk_digbib_2802-1.xmi	1877	1870	digbib	Die Steinklopfer	Saar, Ferdinand von	yes	Erzähltext
rwk_digbib_2823-1.xmi	1866	1860	digbib	Don Juan von Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext
rwk_digbib_2823-2.xmi	1866	1860	digbib	Don Juan von Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext
rwk_digbib_2824-1.xmi	1870	1870	digbib	Venus im Pelz	Sacher-Masoch, Leopold von	yes	Erzähltext
rwk_digbib_2824-2.xmi	1870	1870	digbib	Venus im Pelz	Sacher-Masoch, Leopold von	yes	Erzähltext
rwk_digbib_2846-1.xmi	1855	1850	digbib	16. Der Besenbinderjunge	Schambach, Georg	yes	Erzähltext
rwk_digbib_2847-1.xmi	1855	1850	digbib	171. Das Schauteufelskreuz	Schambach, Georg	yes	Erzähltext
rwk_digbib_300-1.xmi	1879	1870	digbib	1630. Himmelsbrief: Ein Graf hatte einen Diener	Bartsch, Karl	yes	Erzähltext
rwk_digbib_3002-1.xmi	1897	1890	digbib	Der Ehrentag	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3003-1.xmi	1911	1910	digbib	Der Mörder	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3006-1.xmi	1907	1900	digbib	Der tote Gabriel	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3012-1.xmi	1902	1900	digbib	Die griechische Tänzerin	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3015-1.xmi	1895	1890	digbib	Die kleine Komödie	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3016-1.xmi	1897	1890	digbib	Die Toten schweigen	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3018-1.xmi	1917	1910	digbib	Doktor Gräsler, Badearzt	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3018-2.xmi	1917	1910	digbib	Doktor Gräsler, Badearzt	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3021-1.xmi	1902	1900	digbib	Exzentrik	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3027-1.xmi	1889	1880	digbib	Mein Freund Ypsilon	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3027-2.xmi	1889	1880	digbib	Mein Freund Ypsilon	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3030-1.xmi	1899	1890	digbib	Um eine Stunde	Schnitzler, Arthur	yes	Erzähltext
rwk_digbib_3034-1.xmi	1841	1840	digbib	Das Paradies der Liebe	Sealsfield, Charles	yes	Erzähltext
rwk_digbib_3039-1.xmi	1841	1840	digbib	Havanna 1816	Sealsfield, Charles	yes	Erzähltext
rwk_digbib_3076-1.xmi	1846	1840	digbib	5. Die Königstochter und der Soldat	Sommer, Emil	yes	Erzähltext
rwk_digbib_3090-1.xmi	1846	1840	digbib	Pfingsten	Sommer, Emil	yes	Erzähltext
rwk_digbib_3104-1.xmi	1914	1910	digbib	4. Der Grindhansel	Spiegel, Karl	yes	Erzähltext
rwk_digbib_3109-1.xmi	1914	1910	digbib	9.Der Zauberer und sein Lehrling	Spiegel, Karl	yes	Erzähltext
rwk_digbib_3111-1.xmi	1914	1910	digbib	a. Die Geiß und der Bär	Spiegel, Karl	yes	Erzähltext
rwk_digbib_3125-1.xmi	1866	1860	digbib	Der Kuß von Sentze	Stifter, Adalbert	yes	Erzähltext
rwk_digbib_3126-1.xmi	1866	1860	digbib	Der Waldbrunnen	Stifter, Adalbert	yes	Erzähltext
rwk_digbib_3130-1.xmi	1848	1840	digbib	Kalkstein	Stifter, Adalbert	yes	Erzähltext
rwk_digbib_3131-1.xmi	1853	1850	digbib	Katzensilber	Stifter, Adalbert	yes	Erzähltext
rwk_digbib_3131-2.xmi	1853	1850	digbib	Katzensilber	Stifter, Adalbert	yes	Erzähltext
rwk_digbib_3132-1.xmi	1864	1860	digbib	Nachkommenschaften	Stifter, Adalbert	yes	Erzähltext
rwk_digbib_3132-2.xmi	1864	1860	digbib	Nachkommenschaften	Stifter, Adalbert	yes	Erzähltext
rwk_digbib_3136-1.xmi	1876	1870	digbib	Aquis Submersus	Storm, Theodor	yes	Erzähltext
rwk_digbib_3137-1.xmi	1859	1850	digbib	Auf dem Staatshof	Storm, Theodor	yes	Erzähltext
rwk_digbib_3143-2.xmi	1919	1910	digbib	Das Märchen von den drei Spinnfrauen	Storm, Theodor	yes	Erzähltext
rwk_digbib_3145-1.xmi	1850	1850	digbib	Der kleine Häwelmann	Storm, Theodor	yes	Erzähltext
rwk_digbib_3146-1.xmi	1888	1880	digbib	Der Schimmelreiter	Storm, Theodor	yes	Erzähltext
rwk_digbib_3147-1.xmi	1865	1860	digbib	Der Spiegel des Cyprianus	Storm, Theodor	yes	Erzähltext
