file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_1170-2.tsv	mars	Fontane,_Theodor_Unterm_Birnbaum.tg766_1.xml	1885	1880	digbib	Unterm Birnbaum	Fontane, Theodor	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1171-1.tsv	mars	Franzos,_Karl_Emil_Das_Christusbild.tg54_1.xml	1877	1870	digbib	Das Christusbild	Franzos, Karl Emil	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1179-1.tsv	mars	Franzos,_Karl_Emil_Zwei_Retter.tg49_1.xml	1877	1870	digbib	Zwei Retter	Franzos, Karl Emil	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1181-2.tsv	mars	François,_Louise_von_Der_Katzenjunker.tg58_1.xml	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1181-3.tsv	mars	François,_Louise_von_Der_Katzenjunker.tg58_1.xml	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1184-2.tsv	mars	François,_Louise_von_Judith__die_Kluswirtin.tg47_1.xml	1862	1860	digbib	Judith, die Kluswirtin	François, Louise von	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1185-1.tsv	mars	François,_Louise_von_Phosphorus_Hollunder.tg46_1.xml	1857	1850	digbib	Phosphorus Hollunder	François, Louise von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1186-1.tsv	mars	Frapan,_Ilse_Altmodische_Leute.tg13_1.xml	1890	1890	digbib	Altmodische Leute	Frapan, Ilse	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1191-1.tsv	mars	Frapan,_Ilse_Von_der_Strasse.tg16_1.xml	1890	1890	digbib	Von der Straße	Frapan, Ilse	yes	Erzähltext	yes	no	third	chevron other
rwk1_digbib_1191-2.tsv	mars	Frapan,_Ilse_Von_der_Strasse.tg16_1.xml	1890	1890	digbib	Von der Straße	Frapan, Ilse	yes	Erzähltext	yes	no	unsure	chevron none
rwk1_digbib_1194-3.tsv	mars	Gogol,_Nikolaj_Vasilevic_Der_Mantel.tg8_1.xml	1842	1840	digbib	Der Mantel	Gogol, Nikolaj Vasilevi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1196-2.tsv	mars	Gotthelf,_Jeremias_Das_Erdbeerimareili.tg65_1.xml	1850	1850	digbib	Das Erdbeerimareili	Gotthelf, Jeremias	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1197-2.tsv	mars	Gotthelf,_Jeremias_Die_schwarze_Spinne.tg63_1.xml	1842	1840	digbib	Die schwarze Spinne	Gotthelf, Jeremias	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1198-1.tsv	mars	Gotthelf,_Jeremias_Elsi__die_seltsame_Magd.tg64_1.xml	1843	1840	digbib	Elsi, die seltsame Magd	Gotthelf, Jeremias	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1199-2.tsv	mars	Grillparzer,_Franz_Der_arme_Spielmann.tg1810_1.xml	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1199-3.tsv	mars	Grillparzer,_Franz_Der_arme_Spielmann.tg1810_1.xml	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1201-2.tsv	mars	Hartleben,_Otto_Erich_Vom_Gastfreien_Pastor.tg261_1.xml	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1201-3.tsv	mars	Hartleben,_Otto_Erich_Vom_Gastfreien_Pastor.tg261_1.xml	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext	yes	no	first	dash chevron other
