file	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	cabtokens	dialect	perspective	quotes
rwk_digbib_1866-1.tsv	Leskov,_Semenovic_Nikolaj_Das_Tier.tg10_1.xml	1883	1880	digbib	Das Tier	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	579	no	first	chevron
rwk_digbib_1867-1.tsv	Leskov,_Semenovic_Nikolaj_Der_Toupetkuenstler.tg60_1.xml	1883	1880	digbib	Der Toupetkünstler	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	661	no	first	chevron
rwk_digbib_1868-1.tsv	Leskov,_Semenovic_Nikolaj_Der_versiegelte_Engel.tg43_1.xml	1873	1870	digbib	Der versiegelte Engel	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	623	no	first	chevron
rwk_digbib_1868-2.tsv	Leskov,_Semenovic_Nikolaj_Der_versiegelte_Engel.tg43_1.xml	1873	1870	digbib	Der versiegelte Engel	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	648	no	first	chevron
rwk_digbib_1870-1.tsv	Leskov,_Semenovic_Nikolaj_Eine_Teufelsaustreibung.tg4_1.xml	1879	1870	digbib	Eine Teufelsaustreibung	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	673	no	first	chevron
rwk_digbib_1872-1.tsv	Lichtenstein,_Alfred_Der_Freund.tg118_1.xml	1911	1910	digbib	Der Freund	Lichtenstein, Alfred	yes	Erzähltext	yes	593	no	first	undef
rwk_digbib_1877-1.tsv	Lichtenstein,_Alfred_Gespraech_ueber_Beine.tg128_1.xml	1915	1910	digbib	Gespräch über Beine	Lichtenstein, Alfred	yes	Erzähltext	yes	661	no	first	chevron
rwk_digbib_1885-1.tsv	Liliencron,_Detlev_von_Eine_Sommerschlacht.tg261_1.xml	1887	1880	digbib	Eine Sommerschlacht	Liliencron, Detlev von	yes	Erzähltext	yes	609	no	first	chevron
rwk_digbib_1885-2.tsv	Liliencron,_Detlev_von_Eine_Sommerschlacht.tg261_1.xml	1887	1880	digbib	Eine Sommerschlacht	Liliencron, Detlev von	yes	Erzähltext	yes	646	no	first	chevron
rwk_digbib_1886-1.tsv	Liliencron,_Detlev_von_Unter_flatternden_Fahnen.tg262_1.xml	1888	1880	digbib	Unter flatternden Fahnen	Liliencron, Detlev von	yes	Erzähltext	yes	623	no	first	chevron
rwk_digbib_1967-1.tsv	Meyer,_Conrad_Ferdinand_Das_Amulett.tg330_1.xml	1873	1870	digbib	Das Amulett	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	615	no	first	chevron
rwk_digbib_1967-2.tsv	Meyer,_Conrad_Ferdinand_Das_Amulett.tg330_1.xml	1873	1870	digbib	Das Amulett	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	614	no	first	chevron other
rwk_digbib_1968-2.tsv	Meyer,_Conrad_Ferdinand_Das_Leiden_eines_Knaben.tg406_1.xml	1883	1880	digbib	Das Leiden eines Knaben	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	624	no	first	other
rwk_digbib_2028-3.tsv	Moellhausen,_Balduin_Die_Mandanenwaise.tg4_1.xml	1865	1860	digbib	Die Mandanenwaise	Möllhausen, Balduin	yes	Erzähltext	yes	649	no	first	chevron
rwk_digbib_2028-4.tsv	Moellhausen,_Balduin_Die_Mandanenwaise.tg4_1.xml	1865	1860	digbib	Die Mandanenwaise	Möllhausen, Balduin	yes	Erzähltext	yes	582	no	first	undef
rwk_digbib_2031-1.tsv	Moerike,_Eduard_Mozart_auf_der_Reise_nach_Prag.tg264_1.xml	1855	1850	digbib	Mozart auf der Reise nach Prag	Mörike, Eduard	yes	Erzähltext	yes	613	no	first	undef
rwk_digbib_2445-1.tsv	Panizza,_Oskar_Aus_dem_Tagebuch_eines_Hundes.tg46_1.xml	1892	1890	digbib	Aus dem Tagebuch eines Hundes	Panizza, Oskar	yes	Erzähltext	yes	572	no	first	undef
rwk_digbib_2450-1.tsv	Panizza,_Oskar_Der_Goldregen.tg57_1.xml	1893	1890	digbib	Der Goldregen	Panizza, Oskar	yes	Erzähltext	yes	702	yes_DS	first	chevron
rwk_digbib_2451-1.tsv	Panizza,_Oskar_Der_operirte_Jud_.tg55_1.xml	1893	1890	digbib	Der operirte Jud'	Panizza, Oskar	yes	Erzähltext	yes	626	no	first	undef
rwk_digbib_2455-1.tsv	Panizza,_Oskar_Eine_Mondgeschichte.tg44_1.xml	1890	1890	digbib	Eine Mondgeschichte	Panizza, Oskar	yes	Erzähltext	yes	607	no	first	chevron
rwk_digbib_2462-1.tsv	Poe,_Edgar_Allan_Das_Geheimnis_der_Marie_Rog_t.tg48_1.xml	1842	1840	digbib	Das Geheimnis der Marie Rogêt	Poe, Edgar Allan	yes	Erzähltext	yes	661	no	first	chevron
rwk_digbib_2463-1.tsv	Poe,_Edgar_Allan_Das_schwatzende_Herz.tg50_1.xml	1843	1840	digbib	Das schwatzende Herz	Poe, Edgar Allan	yes	Erzähltext	yes	604	no	first	undef
rwk_digbib_2466-1.tsv	Poe,_Edgar_Allan_Der_entwendete_Brief.tg55_1.xml	1845	1840	digbib	Der entwendete Brief	Poe, Edgar Allan	yes	Erzähltext	yes	682	no	first	chevron
rwk_digbib_2477-1.tsv	Poe,_Edgar_Allan_Von_Kempelen_und_seine_Entdeckung.tg61_1.xml	1849	1840	digbib	Von Kempelen und seine Entdeckung	Poe, Edgar Allan	yes	Erzähltext	yes	593	no	first	undef
rwk_digbib_2622-1.tsv	Raabe,_Wilhelm_Die_Gaense_von_Buetzow.tg229_1.xml	1866	1860	digbib	Die Gänse von Bützow	Raabe, Wilhelm	yes	Erzähltext	yes	671	no	first	chevron
rwk_digbib_2655-1.tsv	Riehl,_Wilhelm_Heinrich_von_Meister_Martin_Hildebrand.tg34_1.xml	1862	1860	digbib	Meister Martin Hildebrand	Riehl, Wilhelm Heinrich von	yes	Erzähltext	yes	593	no	first	chevron
rwk_digbib_2671-1.tsv	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_113.xml	1877	1870	digbib	Die Winternacht auf dem Stuhleck.	Rosegger, Peter	yes	Erzähltext	yes	665	no	first	chevron
rwk_digbib_2701-1.tsv	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_18.xml	1877	1870	digbib	Dem Anderl sein Tabakgeld.	Rosegger, Peter	yes	Erzähltext	yes	596	no	first	chevron none
rwk_digbib_2701-2.tsv	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_18.xml	1877	1870	digbib	Dem Anderl sein Tabakgeld	Rosegger, Peter	yes	Erzähltext	yes	646	no	first	chevron none
rwk_digbib_2768-1.tsv	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_82.xml	1877	1870	digbib	Der Prediger in der Wüste.	Rosegger, Peter	yes	Erzähltext	yes	585	no	first	chevron
rwk_digbib_2812-1.tsv	Saar,_Ferdinand_von_Leutnant_Burda.tg215_1.xml	1877	1870	digbib	Leutnant Burda	Saar, Ferdinand von	yes	Erzähltext	yes	636	no	first	chevron
rwk_digbib_2823-1.tsv	Sacher-Masoch,_Leopold_von_Don_Juan_von_Kolomea.tg4_1.xml	1866	1860	digbib	Don Juan von Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	623	no	first	none
rwk_digbib_2823-3.tsv	Sacher-Masoch,_Leopold_von_Don_Juan_von_Kolomea.tg4_1.xml	1866	1860	digbib	Don Juanvon Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	609	no	first	none
rwk_digbib_2823-4.tsv	Sacher-Masoch,_Leopold_von_Don_Juan_von_Kolomea.tg4_1.xml	1866	1860	digbib	Don Juanvon Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	606	no	first	none
rwk_digbib_2824-1.tsv	Sacher-Masoch,_Leopold_von_Venus_im_Pelz.tg5_1.xml	1870	1870	digbib	Venus im Pelz	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	789	no	first	chevron
rwk_digbib_2824-2.tsv	Sacher-Masoch,_Leopold_von_Venus_im_Pelz.tg5_1.xml	1870	1870	digbib	Venus im Pelz	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	680	no	first	chevron
rwk_digbib_2824-3.tsv	Sacher-Masoch,_Leopold_von_Venus_im_Pelz.tg5_1.xml	1870	1870	digbib	Venus im Pelz	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	618	no	first	chevron
rwk_digbib_300-1.tsv	Bartsch,_Karl_1630___Himmelsbrief__Ein_Graf_hatte_einen_Diener_.tg2957_1.xml	1879	1870	digbib	1630. Himmelsbrief: Ein Graf hatte einen Diener	Bartsch, Karl	yes	Erzähltext	yes	614	no	first	undef
